30/05/2026 16:19:35	Royal Paradise Boys Hostel ( BLUE WELL )		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Fridge, Common Induction, Geyser, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance	Veg, Non veg	40/30/30	5000	N/A	5000	21:30:00	24 HRS	0	75	80	0	NOT AVAILABLE	AC - 1,75,000/-	AC - 1,50,000/-, NON AC - 1,35,000/-	NOT AVAILABLE	NO		Male	Blue Well Hotel, 24A, Knowledge Park 3, Greater Noida		
30/05/2026 16:26:57	Royal Paradise Boys Hostel (IIPPT CAMPUS)		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	40/30/30	5000	0	5000	21:00:00	24 HRS	0	50	50	50	NOT AVAILABLE	AC - 1,75,000/-	AC - 1,50,000/-	AC - 1,30,000/-	NO		Male	IIPPT Campus, 42A, Knowledge Park 3, Greater Noida		
30/05/2026 16:30:15	Royal Paradise Boys Hostel (ITS CAMPUS)		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking	Veg, Non veg	40/30/30	5000	N/R	5000	21:00:00	24 HRS	0	0	450	0	0	0	AC - 1,50,000/-, NON AC - 1,25,000/-	0	NO		Male	ITS Campus, 46, Knowledge Park 3, Greater Noida		
30/05/2026 16:51:57	Royal Paradise Boys Hostel ( UNITED CAMPUS )		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Curtain, Watercooler, Common Induction, Geyser, Attached washroom, Common/Shared washroom, Indian Toilet, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	40/30/30	5000	0	5000	21:00:00	24 HRS	0	100	200	0	0	AC - 1,60,000/-, NON AC - 1,40,000/-	AC - 1,30,000/-, NON AC - 1,20,000/-	0	NO		Male	United Campus, Knowledge Park 3, Greater Noida		
30/05/2026 17:00:43	Spandan livings 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine	Veg	60/40, 50/50, 50/30/20	5000	20000	10000	10:00:00	8pm to 7am and 12pm to 4pm	0	0	75	50	0	0	155000	145000	2500 per students 		Male	Plot no.80, nemoli knowledge park 3 greater Noida 201310		
30/05/2026 17:05:52	Royal Paradise Boys Hostel ( JUDGES SOCIETY)		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached washroom, Common/Shared washroom, Indian Toilet, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	40/30/30	5000	0	5000	21:00:00	24 HRS	0	60	90	0	0	AC - 1,60,000/-, NON AC - 1,25,000/-	AC - 1,30,000/-, NON AC - 1,10,000/-	0	NO		Male	P7, Judges Society, Greater Noida		
30/05/2026 17:10:04	Royal Paradise Boys Hostel (GN GROUP)		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	40/30/30	5000	0	5000	21:00:00	24 hrs	0	300	350	200	0	AC - 1,55,000/-, NON AC - 1,45,000/-	AC - 1,45,000/-, NON AC - 1,25,000/-	AC - 1,25,000/-	NO		Male	GN Group Campus (In front of GL Bajaj College), Knowledge Park 3, Greater Noida		
30/05/2026 17:14:08	Royal Paradise Boys Hostel ( DTC CAMPUS )		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Attached washroom, Common/Shared washroom, Indian Toilet, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg, Non veg	40/30/30	5000	0	5000	21:00:00	24 HRS	0	200	300	0	0	AC - 1,60,000/-, NON AC - 1,25,000/-	AC - 1,30,000/-, NON AC - 1,10,000/-	0	NO		Male	DTC Officer Welfare Society, Plot No. 5, Pocket 7, Builders Area, Greater Noida		
31/05/2026 15:15:29	Finix residency girls hostel 		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Washing Machine, Common Fridge, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking, Vending Machine, 	Veg	50/50	5000	10000	10000	09:00:00	Ok	No	No	90	12	No	190000	160000	No	10000		Female	B 06 knowledge park 3 greater noida 		
01/06/2026 13:35:31	Ars Residency Block D		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Power Backup, CCTV Surveillance, Study Room / Library, Two wheeler Parking, Four wheeler Parking	Veg	50/50	5000	10000	15000	10:00:00	14	1	8	15	0	210000-240000	140000-160000	120000-140000	0	15000		Male	KP-3		
01/06/2026 13:52:21	Ars Residency Block E		4 Time Meal, Lunch Deliver to college, Laundry, wifi, Housekeeping, Gym, Transportation, DIning/Mess Area, Terrace Access, indoor games, Outdoor games, Bed with storage, Bed without Storage, Wardrobe/Almirah, AC, Cooler, Fan, Study Table, Chair, Mirror, Curtain, Watercooler, Common Induction, Geyser, Attached Balcony, Common Balcony, Attached washroom, Common/Shared washroom, Western Toilet, Visitor Management, First AId Kit, Fire Safety/ Extinguisher, Warden, Security Guard, Elevator/Lift, Power Backup, CCTV Surveillance, Two wheeler Parking, Four wheeler Parking	Veg	50/50	5000	10000	20000	10:00:00	14 hrs	10	50	60	40	225000-265000	170000-190000	145000-165000	115000-135000	15000		Male	KNOWLEDGE PARK 3 GREATER NOIDA NEAR IILM		
